WKT_GEOM;ID_INF_BP;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;NUM_POSTI;LATTANTI;URL;COORD_X;COORD_Y
POINT (1394713.67 4990777.975);1;POLLICINO (Politecnico);CORSO DUCA DEGLI ABRUZZI 24;1;10129;Torino;011 5646354;24;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1394713,67;4990777,975
POINT (1395276.141 4991590.772);2;GIOCOCOMERO;VIA VITTORIO AMEDEO II 15/C;1;10121;Torino;011 19712774;10;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1395276,141;4991590,772
POINT (1391697.056 4988456.66);3;LA ROCCA INCANTATA;VIA EDOARDO RUBINO 45;2;10137;Torino;011 4436250;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1391697,056;4988456,66
POINT (1393375.753 4990846.841);4;ARCA DI NOE;CORSO RACCONIGI 131;3;10141;Torino;011 3828240;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1393375,753;4990846,841
POINT (1393935.62 4991946.945);5;IL GIRASOLE;VIA GROSCAVALLO 18;3;10138;Torino;011 4472758;25;si;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1393935,62;4991946,945
POINT (1392686.817 4991967.407);6;PATAPUM IL BABY CLUB DI TORINO;VIA OULX 14/C;3;10139;Torino;011 7732866;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1392686,817;4991967,407
POINT (1392617.772 4995616.317);7;IL NIDO;VIA DELLE PERVINCHE 23 scala N;5;10151;Torino;334 3548242;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1392617,772;4995616,317
POINT (1394937.02 4992142.74);8;LA CASA MAGICA;VIA ABATE ANTONIO VASSALLI-EANDI 7;3;10138;Torino;3206027923 - 3206027923;20;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1394937,02;4992142,74
POINT (1395195.303 4993571.583);9;DORABIMBI;VIA TREVISO 24/R;4;10144;Torino;011 4379538;20;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1395195,303;4993571,583
POINT (1395229.578 4992548.316);10;IL TRENINO DEI SOGNI;VIA GIACINTO CARENA 2;4;10144;Torino;011 7741745;19;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1395229,578;4992548,316
POINT (1392178.769 4994768.572);11;IL BELLO DEI BIMBI;STRADA PIANEZZA 289/A;5;10151;Torino;338 8327964;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1392178,769;4994768,572
POINT (1398280.627 4993884.046);12;BIBAIO';VIA MADDALENE 7;6;10154;Torino;011 5617206 - 011 2166515;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1398280,627;4993884,046
POINT (1397183.771 4995704.846);13;BABY ALOUAN;VIA GUGLIELMO REISS ROMOLI 45;5;10148;Torino;011 2205669;24;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1397183,771;4995704,846
POINT (1397255.674 4990251.935);14;MAGA MAGO';VIA CURTATONE 5;8;10131;Torino;011 5537655;20;si;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1397255,674;4990251,935
POINT (1396011.283 4990364.536);15;LA CASA DI JOELE;VIA SALUZZO 30;8;10125;Torino;011 6508086;15;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;1396011,283;4990364,536
