ID_LUOGO_L;TIPO;DESCRIZION;INDIRIZZO;CIRCOSCRIZ;NOTE;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;Locali storici;Hotel Turin Palace;VIA SACCHI PAOLO, 8;1;;POINT (7.676755704359483 45.06210885842741);45.062108858427415;7.676755704359483;3;Crocetta;Centro - Crocetta
2;Locali storici;Caffetteria Stratta;PIAZZA SAN CARLO, 191;1;;POINT (7.682964540927208 45.06732841762053);45.06732841762053;7.682964540927208;1;Centro;Centro - Crocetta
3;Locali storici;Confetteria Avvignano;PIAZZA CARLO FELICE, 50;1;;POINT (7.678881190498232 45.0636998546083);45.0636998546083;7.678881190498232;1;Centro;Centro - Crocetta
4;Locali storici;Cambio;PIAZZA CARIGNANO, 2;1;;POINT (7.68493208924671 45.06950623041116);45.069506230411164;7.68493208924671;1;Centro;Centro - Crocetta
5;Locali storici;Pepino - Carignano;PIAZZA CARIGNANO, 8;1;;POINT (7.684588762035343 45.06902859906104);45.06902859906104;7.684588762035343;1;Centro;Centro - Crocetta
6;Locali storici;CaffèFiorio;VIA PO, 8;1;;POINT (7.688037564568197 45.06939277798396);45.069392777983964;7.688037564568197;1;Centro;Centro - Crocetta
7;Locali storici;Caffè Platti;CORSO VITTORIO EMANUELE II, 72;1;;POINT (7.674655877751905 45.06456325000953);45.06456325000953;7.674655877751905;1;Centro;Centro - Crocetta
9;Locali storici;Al Bicerin;PIAZZA DELLA CONSOLATA, 5;1;;POINT (7.678970200123072 45.07627012964254);45.076270129642545;7.6789702001230715;1;Centro;Centro - Crocetta
10;Locali storici;Baratti & Milano;PIAZZA CASTELLO, 27;1;;POINT (7.686482313219614 45.06976411597736);45.069764115977364;7.686482313219614;1;Centro;Centro - Crocetta
11;Locali storici;Mulassano;PIAZZA CASTELLO, 15;1;;POINT (7.68682181692783 45.06984835255734);45.06984835255734;7.68682181692783;1;Centro;Centro - Crocetta
12;Locali storici;Caffè Torino;PIAZZA SAN CARLO, 156;1;;POINT (7.68234783716993 45.06830144593883);45.06830144593883;7.68234783716993;1;Centro;Centro - Crocetta
13;Locali storici;San Carlo;PIAZZA SAN CARLO, 156;1;;POINT (7.68234783716993 45.06830144593883);45.06830144593883;7.68234783716993;1;Centro;Centro - Crocetta
14;Luoghi particolari;Cittadella;CORSO FERRARIS GALILEO, 0;1;;POINT (7.67363115888857 45.07098260592766);45.07098260592766;7.67363115888857;1;Centro;Centro - Crocetta
16;Luoghi particolari;Murazzi;VIA MURAZZI DEL PO, 15;1;;POINT (7.695134773846726 45.06269543516581);45.06269543516581;7.695134773846726;1;Centro;Centro - Crocetta
21;Luoghi particolari;Cavallerizza;VIA VERDI GIUSEPPE, 7;1;;POINT (7.689337550841219 45.0696428157443);45.0696428157443;7.689337550841219;1;Centro;Centro - Crocetta
8;Locali storici;San Giorgio;VIALE MILLO ENRICO, 6;8;;POINT (7.685306296064836 45.04845355755844);45.04845355755844;7.685306296064836;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
15;Luoghi particolari;Mausoleo della Bella Rosin;STRADA CASTELLO DI MIRAFIORI, 148;2;;POINT (7.637572456324729 45.01011525891759);45.010115258917594;7.637572456324729;23;Mirafiori Sud;Santa Rita - Mirafiori
17;Luoghi particolari;Arsenale della Pace;PIAZZA BORGO DORA, 61;7;;POINT (7.68457339360159 45.08172180626889);45.08172180626889;7.68457339360159;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
18;Luoghi particolari;Porta Palazzo;PIAZZA DELLA REPUBBLICA, 25;7;;POINT (7.683450582915382 45.0770706806235);45.0770706806235;7.683450582915382;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
19;Luoghi particolari;Portici del Lingotto;VIA NIZZA, 262;8;;POINT (7.666820955601366 45.03165208709617);45.03165208709617;7.6668209556013664;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
20;Luoghi particolari;Fetta di polenta;VIA GIULIA DI BAROLO, 9;7;;POINT (7.69698916019229 45.06779295602659);45.067792956026594;7.69698916019229;8;Vanchiglia;Aurora, Vanchiglia - Sassi - Madonna del Pilone
