ID_INF_BP;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;NUM_POSTI;LATTANTI;URL;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;POLLICINO (Politecnico);CORSO DUCA DEGLI ABRUZZI 24;1;10129;Torino;011 5646354;24;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.662360358838298 45.06245141133888);45.062451411338884;7.662360358838298;3;Crocetta;Centro - Crocetta
2;GIOCOCOMERO;VIA VITTORIO AMEDEO II 15/C;1;10121;Torino;011 19712774;10;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.669332862931193 45.06984941606971);45.06984941606971;7.669332862931193;1;Centro;Centro - Crocetta
3;LA ROCCA INCANTATA;VIA EDOARDO RUBINO 45;2;10137;Torino;011 4436250;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.624556888100697 45.04110646416468);45.04110646416468;7.624556888100697;12;Mirafiori Nord;Santa Rita - Mirafiori
4;ARCA DI NOE;CORSO RACCONIGI 131;3;10141;Torino;011 3828240;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.645356949529587 45.06287081637116);45.06287081637116;7.645356949529587;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
5;IL GIRASOLE;VIA GROSCAVALLO 18;3;10138;Torino;011 4472758;25;si;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.652233422883622 45.07285496158384);45.072854961583836;7.652233422883622;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
8;LA CASA MAGICA;VIA ABATE ANTONIO VASSALLI-EANDI 7;3;10138;Torino;3206027923 - 3206027923;20;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.664910450723695 45.07476640127503);45.074766401275035;7.664910450723695;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
6;PATAPUM IL BABY CLUB DI TORINO;VIA OULX 14/C;3;10139;Torino;011 7732866;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.636369021234511 45.07285075312578);45.07285075312578;7.636369021234511;13;Pozzo Strada;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
7;IL NIDO;VIA DELLE PERVINCHE 23 scala N;5;10151;Torino;334 3548242;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.634709744159805 45.10567702208174);45.10567702208174;7.634709744159805;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
11;IL BELLO DEI BIMBI;STRADA PIANEZZA 289/A;5;10151;Torino;338 8327964;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.629313791295123 45.09798129861301);45.09798129861301;7.629313791295123;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
9;DORABIMBI;VIA TREVISO 24/R;4;10144;Torino;011 4379538;20;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.667891940197288 45.08766314973079);45.08766314973079;7.667891940197288;6;San Donato;San Donato - Campidoglio - Parella
10;IL TRENINO DEI SOGNI;VIA GIACINTO CARENA 2;4;10144;Torino;011 7741745;19;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.668541361707169 45.07845965598004);45.07845965598004;7.668541361707169;6;San Donato;San Donato - Campidoglio - Parella
12;BIBAIO';VIA MADDALENE 7;6;10154;Torino;011 5617206 - 011 2166515;25;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.707023667898805 45.09092574086486);45.09092574086486;7.707023667898805;20;Regio Parco;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
13;BABY ALOUAN;VIA GUGLIELMO REISS ROMOLI 45;5;10148;Torino;011 2205669;24;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.692714676589664 45.10715290126456);45.107152901264556;7.692714676589664;17;Borgata Vittoria;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
14;MAGA MAGO';VIA CURTATONE 5;8;10131;Torino;011 5537655;20;si;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.694746778639849 45.05809106881735);45.058091068817355;7.694746778639849;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
15;LA CASA DI JOELE;VIA SALUZZO 30;8;10125;Torino;011 6508086;15;;http://www.comune.torino.it/servizieducativi/se/03_bp.htm;POINT (7.678923240172914 45.05892264632454);45.05892264632454;7.678923240172914;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
